texto,M,hash_name,n,alpha,max_bucket,avg_bucket,total_comp_success,avg_comp_success,total_comp_fail,avg_comp_fail
quincas_borba.txt,97,hash_soma,10030,103.4021,154,103.4021,562563,56.088,96871,96.871
quincas_borba.txt,100,hash_soma,10030,100.3,179,100.3,601375,59.9576,82660,82.66
quincas_borba.txt,997,hash_soma,10030,10.0602,47,10.0602,104722,10.4409,6096,6.096
quincas_borba.txt,97,hash_ponderada,10030,103.4021,138,103.4021,530520,52.8933,103441,103.441
quincas_borba.txt,100,hash_ponderada,10030,100.3,126,100.3,512608,51.1075,100136,100.136
quincas_borba.txt,997,hash_ponderada,10030,10.0602,28,10.0602,69201,6.8994,8612,8.612
quincas_borba.txt,97,hash_polinomial,10030,103.4021,125,103.4021,528035,52.6456,103541,103.541
quincas_borba.txt,100,hash_polinomial,10030,100.3,122,100.3,512271,51.0739,100437,100.437
quincas_borba.txt,997,hash_polinomial,10030,10.0602,21,10.0602,60351,6.017,10164,10.164
quincas_borba.txt,97,hash_xor,10030,103.4021,124,103.4021,528021,52.6442,103576,103.576
quincas_borba.txt,100,hash_xor,10030,100.3,237,100.3,723849,72.1684,119605,119.605
quincas_borba.txt,997,hash_xor,10030,10.0602,21,10.0602,60652,6.0471,10120,10.12
quincas_borba.txt,97,hash_prefixo,10030,103.4021,735,103.4021,1453831,144.9483,266943,266.943
quincas_borba.txt,100,hash_prefixo,10030,100.3,740,100.3,1463026,145.865,268770,268.77
quincas_borba.txt,997,hash_prefixo,10030,10.0602,733,10.0602,1423801,141.9542,262725,262.725
quincas_borba.txt,97,hash_sufixo,10030,103.4021,564,103.4021,1380244,137.6116,9000,9.0
quincas_borba.txt,100,hash_sufixo,10030,100.3,563,100.3,1388632,138.4479,3000,3.0
quincas_borba.txt,997,hash_sufixo,10030,10.0602,561,10.0602,1332172,132.8187,0,0.0
tale.txt,97,hash_soma,9972,102.8041,161,102.8041,548349,54.9889,96563,96.563
tale.txt,100,hash_soma,9972,99.72,186,99.72,595949,59.7622,78425,78.425
tale.txt,997,hash_soma,9972,10.002,48,10.002,109263,10.957,5486,5.486
tale.txt,97,hash_ponderada,9972,102.8041,124,102.8041,522408,52.3875,102223,102.223
tale.txt,100,hash_ponderada,9972,99.72,118,99.72,506557,50.7979,99643,99.643
tale.txt,997,hash_ponderada,9972,10.002,30,10.002,73826,7.4033,8742,8.742
tale.txt,97,hash_polinomial,9972,102.8041,121,102.8041,522655,52.4123,102476,102.476
tale.txt,100,hash_polinomial,9972,99.72,122,99.72,507763,50.9189,99091,99.091
tale.txt,997,hash_polinomial,9972,10.002,22,10.002,60379,6.0549,9763,9.763
tale.txt,97,hash_xor,9972,102.8041,123,102.8041,522502,52.3969,102445,102.445
tale.txt,100,hash_xor,9972,99.72,221,99.72,688876,69.081,106052,106.052
tale.txt,997,hash_xor,9972,10.002,22,10.002,59744,5.9912,9825,9.825
tale.txt,97,hash_prefixo,9972,102.8041,585,102.8041,1364110,136.794,260400,260.4
tale.txt,100,hash_prefixo,9972,99.72,585,99.72,1365905,136.974,260551,260.551
tale.txt,997,hash_prefixo,9972,10.002,583,10.002,1348565,135.2352,258940,258.94
tale.txt,97,hash_sufixo,9972,102.8041,1123,102.8041,1711504,171.631,0,0.0
tale.txt,100,hash_sufixo,9972,99.72,1122,99.72,1714513,171.9327,0,0.0
tale.txt,997,hash_sufixo,9972,10.002,1120,10.002,1695947,170.0709,0,0.0
